X,Y,id,name,area,perim,alt,lon,lat,instr,lbl_ofs_x,lbl_ofs_y
-2.62903471813479,51.454404265418546,1,HOMER,0.000000000000000,0.000000000000000,0.0,-2.629035,51.454404,_,-25.0,0.0
-2.627748292113758,51.454516934535505,3,SAFTI,,,0.0,-2.627748,51.454517,"Verify EKF, RTK, comms",25.0,-11.0
-2.628870055650785,51.454332646152139,2,TESTA,0.000000000000000,0.000000000000000,5.0,-2.628870,51.454333,Verify EKF and RTK,-21.0,11.0
-2.627926041389736,51.454791936160596,6,ALPHA,0.000000000000000,0.000000000000000,-1.8,-2.627926,51.454792,_,-25.0,-11.0
-2.628131693682806,51.454711789003476,7,BRAVO,0.000000000000000,0.000000000000000,-1.7,-2.628132,51.454712,_,-25.0,-11.0
-2.628340430877514,51.454631624944625,8,CHALI,0.000000000000000,0.000000000000000,-1.5,-2.628340,51.454632,_,-25.0,-11.0
-2.628561483325085,51.454549466534033,9,DELTA,0.000000000000000,0.000000000000000,-1.0,-2.628561,51.454549,_,-25.0,-11.0
-2.628819350343311,51.454451686741201,10,ECKOH,0.000000000000000,0.000000000000000,0.0,-2.628819,51.454452,_,-25.0,-11.0
-2.627818264898964,51.454625192114541,4,TWENI,,,0.0,-2.627818,51.454625,Verify 15<R<30,25.0,-11.0
-2.627872153045627,51.454708564150877,5,TENNA,,,-0.9,-2.627872,51.454709,Verify 15<R<20,25.0,-11.0
